(1,108)
(2,602)
(3,187)
(4,306)
(5,34)
(1,15)
(2,973)
(3,702)
(4,50)
(5,287)
(1,323)
(2,556)
(3,705)
(4,106)
(5,249)
(1,580)
(2,997)
(3,529)
(4,669)
(5,93)
(1,83)
(2,30)
(3,253)
(4,87)
(5,990)
(1,623)
(2,446)
(3,613)
(4,627)
(5,622)
(1,276)
(2,461)
(3,588)
(4,50)
(5,136)
(1,100)
(2,560)
(3,468)
(4,366)
(5,404)
(1,724)
(2,936)
(3,150)
(4,489)
(5,46)
(1,915)
(2,90)
(3,1028)
(4,772)
(5,1)
(1,111)
(2,656)
(3,387)
(4,236)
(5,338)
(1,44)
(2,981)
(3,15)
(4,101)
(5,1056)
(1,565)
(2,431)
(3,960)
(4,599)
(5,348)
(1,105)
(2,601)
(3,23)
(4,890)
(5,116)
(1,677)
(2,237)
(3,242)
(4,187)
(5,422)
(1,684)
(2,366)
(3,492)
(4,656)
(5,650)
(1,102)
(2,355)
(3,138)
(4,655)
(5,894)
(1,575)
(2,165)
(3,867)
(4,96)
(5,1077)
(1,491)
(2,415)
(3,486)
(4,862)
(5,520)
(1,726)
(2,875)
(3,492)
(4,742)
(5,1042)
(1,1027)
(2,1013)
(3,966)
(4,253)
(5,217)
(1,468)
(2,245)
(3,228)
(4,20)
(5,993)
(1,1)
(2,530)
(3,500)
(4,390)
(5,693)
(1,19)
(2,468)
(3,472)
(4,107)
(5,244)
(1,441)
(2,564)
(3,887)
(4,486)
(5,718)
(1,207)
(2,324)
(3,103)
(4,872)
(5,612)
(1,352)
(2,358)
(3,249)
(4,1006)
(5,1127)
(1,1065)
(2,4)
(3,933)
(4,258)
(5,255)
(1,1087)
(2,862)
(3,16)
(4,176)
(5,74)
(1,16)
(2,40)
(3,696)
(4,20)
(5,1135)
(1,5)
(2,719)
(3,63)
(4,11)
(5,1111)
(1,403)
(2,77)
(3,16)
(4,458)
(5,1038)
(1,264)
(2,488)
(3,1137)
(4,95)
(5,266)
(1,211)
(2,335)
(3,709)
(4,449)
(5,32)
(1,66)
(2,594)
(3,523)
(4,456)
(5,652)
(1,884)
(2,466)
(3,1)
(4,49)
(5,634)
(1,421)
(2,494)
(3,344)
(4,487)
(5,988)
(1,1171)
(2,263)
(3,936)
(4,473)
(5,700)
(1,320)
(2,179)
(3,850)
(4,43)
(5,623)
(1,90)
(2,270)
(3,93)
(4,1068)
(5,1000)
(1,372)
(2,688)
(3,1068)
(4,994)
(5,1116)
(1,885)
(2,182)
(3,17)
(4,288)
(5,1023)
(1,234)
(2,137)
(3,779)
(4,695)
(5,331)
(1,759)
(2,436)
(3,704)
(4,17)
(5,604)
(1,971)
(2,707)
(3,203)
(4,747)
(5,797)
(1,522)
(2,560)
(3,348)
(4,1125)
(5,19)
(1,99)
(2,483)
(3,4)
(4,1001)
(5,287)
(1,518)
(2,877)
(3,407)
(4,1202)
(5,191)
(1,1163)
(2,787)
(3,1040)
(4,976)
(5,300)
(1,276)
(2,144)
(3,1170)
(4,768)
(5,512)
(1,413)
(2,837)
(3,879)
(4,446)
(5,38)
(1,488)
(2,509)
(3,252)
(4,61)
(5,1075)
(1,1244)
(2,218)
(3,1147)
(4,269)
(5,657)
(1,608)
(2,898)
(3,149)
(4,97)
(5,783)
(1,618)
(2,1149)
(3,489)
(4,77)
(5,469)
(1,1095)
(2,786)
