(1,7023)
(2,4927)
(3,7)
(1,282)
(2,2138)
(3,5722)
(1,7033)
(2,2072)
(3,2668)
(1,6190)
(2,9073)
(3,2)
(1,5741)
(2,5467)
(3,4182)
(1,8049)
(2,5814)
(3,4951)
(1,28)
(2,570)
(3,7944)
(1,7458)
(2,8995)
(3,9175)
(1,1793)
(2,7232)
(3,1906)
(1,3004)
(2,6198)
(3,8283)
(1,9687)
(2,8291)
(3,8625)
(1,6062)
(2,4087)
(3,5701)
(1,1830)
(2,5543)
(3,9663)
(1,6334)
(2,5254)
(3,7317)
(1,1671)
(2,3793)
(3,8548)
(1,5891)
(2,4817)
(3,8732)
(1,5107)
(2,3752)
(3,4441)
(1,9441)
(2,8790)
(3,4604)
(1,1005)
(2,4990)
(3,5622)
(1,8861)
(2,1457)
(3,3583)
(1,6850)
(2,5894)
(3,3955)
(1,1683)
(2,1774)
(3,7714)
(1,1787)
(2,663)
(3,4272)
(1,3933)
(2,9662)
(3,2913)
(1,6611)
(2,735)
(3,867)
(1,2053)
(2,5556)
(3,2)
(1,5172)
(2,2467)
(3,8014)
(1,8668)
(2,544)
(3,5847)
(1,9999)
(2,8970)
(3,1001)
(1,3242)
(2,4633)
(3,2807)
(1,4105)
(2,4562)
(3,6176)
(1,1892)
(2,1813)
(3,4401)
(1,6164)
(2,6710)
(3,8079)
(1,800)
(2,272)
(3,7872)
(1,2833)
(2,5013)
(3,4113)
(1,848)
(2,3026)
(3,221)
(1,4358)
(2,3179)
(3,8303)
(1,316)
(2,5684)
(3,3052)
(1,432)
(2,2)
(3,7939)
(1,1323)
(2,8715)
(3,6183)
(1,2969)
(2,8600)
(3,552)
(1,4062)
(2,7795)
(3,9878)
(1,3350)
(2,5895)
(3,9089)
(1,8795)
(2,8559)
(3,4450)
(1,2205)
(2,451)
(3,3517)
(1,2286)
(2,4716)
(3,1091)
(1,6153)
(2,9521)
(3,56)
(1,9487)
(2,1250)
(3,295)
(1,7536)
(2,9922)
(3,909)
(1,5767)
(2,7065)
(3,140)
(1,4124)
(2,2724)
(3,8441)
(1,1832)
(2,10012)
(3,5740)
(1,2467)
(2,6241)
(3,944)
(1,6782)
(2,973)
(3,1046)
(1,4243)
(2,2845)
(3,4554)
(1,1796)
(2,1307)
(3,7816)
(1,7507)
(2,4972)
(3,7007)
(1,8609)
(2,4257)
(3,7415)
(1,8517)
(2,1806)
(3,5975)
(1,8969)
(2,101)
(3,6009)
(1,2013)
(2,76)
(3,5525)
(1,321)
(2,4136)
(3,6645)
(1,8853)
(2,8745)
(3,9650)
(1,692)
(2,9787)
(3,6540)
(1,10000)
(2,9451)
(3,3363)
(1,5715)
(2,6198)
(3,6345)
(1,5260)
(2,82)
(3,7724)
(1,9821)
(2,10177)
(3,8827)
(1,9462)
(2,2076)
(3,2554)
(1,8045)
(2,5872)
(3,79)
(1,6639)
(2,3992)
(3,7595)
(1,2555)
(2,4920)
(3,3695)
(1,8969)
(2,8)
(3,5099)
(1,6915)
(2,3477)
(3,1158)
(1,323)
(2,9423)
(3,816)
(1,1396)
(2,6487)
(3,78)
(1,9694)
(2,396)
(3,9466)
(1,3702)
(2,76)
(3,2788)
(1,140)
(2,8258)
(3,3096)
(1,4458)
(2,7451)
(3,322)
(1,5611)
(2,3981)
(3,2970)
(1,7452)
(2,7533)
(3,7612)
(1,4933)
(2,1653)
(3,3)
(1,2921)
(2,9220)
(3,5780)
(1,80)
(2,4794)
(3,3590)
(1,4249)
(2,9320)
(3,5180)
(1,6680)
(2,6417)
(3,76)
(1,5514)
(2,9158)
(3,6209)
(1,1119)
(2,3124)
(3,1117)
(1,5817)
(2,1703)
(3,2391)
(1,7881)
(2,7598)
(3,5723)
(1,9474)
(2,1120)
(3,7978)
(1,551)
(2,3754)
(3,6142)
(1,2471)
(2,9497)
(3,5814)
(1,5362)
(2,8519)
(3,5648)
(1,9190)
(2,6861)
(3,140)
